mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,random,True,,11,0.25,5,0.6,33.6,15.6301,7.4761,2.1104,3860.6,,,
full,alpha_beta,random,True,,11,0.35,5,0.4,38.8,15.3525,6.4763,1.5296,3281.4,,,
full,alpha_beta,random,True,,13,0.15,5,0.4,39.2,14.7885,11.1712,3.5711,5903.6,,,
full,alpha_beta,random,True,,13,0.25,5,0.2,45.4,10.2859,10.6478,2.9467,5473.8,,,
full,alpha_beta,random,True,,13,0.35,5,0,50,0.0,8.8825,1.7857,4548.4,,,
full,alpha_beta,random,True,,17,0.15,5,0.4,42.4,10.4067,10.1275,5.4724,5378.8,,,
full,alpha_beta,random,True,,17,0.25,5,0,50,0.0,11.2565,1.9667,5712,,,
full,alpha_beta,random,True,,17,0.35,5,0,50,0.0,7.8267,2.7863,3982.4,,,
full,alpha_beta,random,True,,21,0.15,5,0,50,0.0,15.5291,3.4415,7708.4,,,
full,alpha_beta,random,True,,21,0.25,5,0,50,0.0,10.629,1.8297,5260,,,
full,alpha_beta,random,True,,21,0.35,5,0,50,0.0,9.9172,2.2614,4910.6,,,
full,beam_search,astar,False,,11,0.15,5,0,7.8,3.2711,1.0237,0.2825,266.8,,,
full,beam_search,astar,False,,11,0.25,3,0,7.3333,1.5275,1.0386,0.0917,290,,,
full,beam_search,astar,False,,11,0.35,4,0.75,16.25,5.5,1.4196,0.3315,390.5,,,
full,beam_search,astar,False,,13,0.15,5,0,7.4,1.1402,1.2625,0.2001,337.2,,,
full,beam_search,astar,False,,13,0.25,5,0.6,18.8,8.1363,2.1859,0.6657,591.2,,,
full,beam_search,astar,False,,13,0.35,3,0,8,1.7321,1.1854,0.5706,344,,,
full,beam_search,astar,False,,17,0.15,5,0.4,18.8,12.0913,3.3791,1.3219,891,,,
full,beam_search,astar,False,,17,0.25,5,0.4,23.2,9.0664,3.6839,1.5468,996.8,,,
full,beam_search,astar,False,,17,0.35,5,0,44,13.4164,5.8304,2.6791,1719.6,,,
full,beam_search,astar,False,,21,0.15,4,0,11.75,0.9574,3.5606,0.8192,926,,,
full,beam_search,astar,False,,21,0.25,4,0.25,23.5,12.5033,4.2719,0.7962,1144.5,,,
full,beam_search,astar,False,,21,0.35,4,0.25,33.75,17.3853,5.0436,2.0644,1408.25,,,
full,beam_search,astar,True,,11,0.15,5,0,8.4,3.7815,1.2294,0.4935,296.8,,,
full,beam_search,astar,True,,11,0.25,3,0,7.3333,1.5275,1.097,0.0853,290,,,
full,beam_search,astar,True,,11,0.35,4,0.75,16.75,5.909,1.4978,0.361,407,,,
full,beam_search,astar,True,,13,0.15,5,0,7.4,1.1402,1.4034,0.3839,337.8,,,
full,beam_search,astar,True,,13,0.25,5,0.6,18.6,8.2946,2.1936,0.6592,584.2,,,
full,beam_search,astar,True,,13,0.35,3,0,8,1.7321,1.1656,0.5099,345.3333,,,
full,beam_search,astar,True,,17,0.15,5,0.4,19.2,12.6965,3.39,1.2372,924.6,,,
full,beam_search,astar,True,,17,0.25,5,0.2,20.8,8.167,3.2403,1.4218,865.4,,,
full,beam_search,astar,True,,17,0.35,5,0.4,41.6,13.3154,7.0189,2.7727,2031.2,,,
full,beam_search,astar,True,,21,0.15,4,0,11.75,0.9574,3.5935,1.0186,925.5,,,
full,beam_search,astar,True,,21,0.25,4,0.25,27,14.7196,5.1755,2.2606,1344.75,,,
full,beam_search,astar,True,,21,0.35,4,0.25,32.25,17.8022,4.9615,2.0455,1337.25,,,
full,beam_search,beam,False,,11,0.15,5,0,8.4,3.7815,1.1843,0.2735,280,,,
full,beam_search,beam,False,,11,0.25,3,0,7.6667,2.0817,1.0776,0.1135,298.3333,,,
full,beam_search,beam,False,,11,0.35,4,0.75,16.5,5.0,1.3436,0.2039,396.75,,,
full,beam_search,beam,False,,13,0.15,5,0,7.4,1.1402,1.2502,0.1921,337.2,,,
full,beam_search,beam,False,,13,0.25,5,0.4,24.8,15.975,3.1297,2.2523,853.8,,,
full,beam_search,beam,False,,13,0.35,3,0.3333,13.6667,11.547,1.6756,1.307,477.3333,,,
full,beam_search,beam,False,,17,0.15,5,0.2,17.2,10.4976,3.2087,1.1177,873.2,,,
full,beam_search,beam,False,,17,0.25,5,0.4,28.8,14.6697,3.9481,0.9627,1095,,,
full,beam_search,beam,False,,17,0.35,5,0,44.8,11.6276,5.9766,2.6172,1747.2,,,
full,beam_search,beam,False,,21,0.15,4,0,11.75,0.9574,3.4833,0.8863,926,,,
full,beam_search,beam,False,,21,0.25,4,0.5,29.5,12.8193,5.1736,1.0866,1321.5,,,
full,beam_search,beam,False,,21,0.35,4,0.25,33.75,17.3853,5.0291,2.0977,1408.25,,,
full,beam_search,beam,True,,11,0.15,5,0,9,4.6368,1.2416,0.5641,312.2,,,
full,beam_search,beam,True,,11,0.25,3,0,7.3333,1.5275,1.1544,0.1743,290,,,
full,beam_search,beam,True,,11,0.35,4,0.75,17,5.416,1.5273,0.3198,412.5,,,
full,beam_search,beam,True,,13,0.15,5,0,7.4,1.1402,1.3077,0.2432,337.8,,,
full,beam_search,beam,True,,13,0.25,5,0.4,18,7.6158,2.3903,0.8136,595,,,
full,beam_search,beam,True,,13,0.35,3,0.3333,13.6667,11.547,1.5969,1.2687,478.6667,,,
full,beam_search,beam,True,,17,0.15,5,0.2,17.6,11.2606,3.3662,1.0882,906.8,,,
full,beam_search,beam,True,,17,0.25,5,0.2,26.2,15.4175,3.6897,1.0879,975.4,,,
full,beam_search,beam,True,,17,0.35,5,0.4,41.6,13.3154,7.2804,2.8815,2031.2,,,
full,beam_search,beam,True,,21,0.15,4,0,11.75,0.9574,3.5271,0.9522,925.5,,,
full,beam_search,beam,True,,21,0.25,4,0.25,32.75,16.6408,7.7687,6.3366,1931.75,,,
full,beam_search,beam,True,,21,0.35,4,0.25,32.25,17.8022,4.9919,1.959,1337.25,,,
full,beam_search,greedy,False,,11,0.15,5,0.2,10,6.2048,1.2301,0.358,298.6,,,
full,beam_search,greedy,False,,11,0.25,5,0,10.8,2.5884,1.2767,0.1185,355.8,,,
full,beam_search,greedy,False,,11,0.35,5,0.6,16.2,4.3818,1.5815,0.585,468.2,,,
full,beam_search,greedy,False,,13,0.15,5,0.4,13.6,9.5289,1.989,1.3006,466.8,,,
full,beam_search,greedy,False,,13,0.25,5,0.4,25.2,15.7544,3.125,2.2139,859,,,
full,beam_search,greedy,False,,13,0.35,5,0.4,24.6,17.869,3.0077,2.2205,858.8,,,
full,beam_search,greedy,False,,17,0.15,5,0.4,22.2,12.0291,3.8821,1.3421,1024,,,
full,beam_search,greedy,False,,17,0.25,5,0.4,36,14.3701,5.3806,2.8219,1468,,,
full,beam_search,greedy,False,,17,0.35,5,0.2,47.4,5.8138,5.9935,2.5361,1789,,,
full,beam_search,greedy,False,,21,0.15,5,0.4,24.2,17.225,5.204,2.749,1399,,,
full,beam_search,greedy,False,,21,0.25,5,0.6,40,7.4833,6.6432,1.144,1859.8,,,
full,beam_search,greedy,False,,21,0.35,5,0.2,42.4,15.3721,7.6334,3.8665,2159.6,,,
full,beam_search,greedy,True,,11,0.15,5,0.2,10.8,7.7266,1.2942,0.695,335.8,,,
full,beam_search,greedy,True,,11,0.25,5,0,12.2,2.49,1.596,0.3744,390.2,,,
full,beam_search,greedy,True,,11,0.35,5,0.4,15.2,4.1473,1.6951,0.5962,470.6,,,
full,beam_search,greedy,True,,13,0.15,5,0.4,13.6,9.5289,1.7886,0.9662,469.2,,,
full,beam_search,greedy,True,,13,0.25,5,0.4,18.4,7.6026,2.2768,0.7265,600.2,,,
full,beam_search,greedy,True,,13,0.35,5,0.4,23.8,17.5983,2.9445,2.3284,867,,,
full,beam_search,greedy,True,,17,0.15,5,0.4,22.6,12.502,3.8512,1.5507,1060.8,,,
full,beam_search,greedy,True,,17,0.25,5,0.4,36.4,14.2232,4.6952,1.3153,1290,,,
full,beam_search,greedy,True,,17,0.35,5,0.6,45,7.0356,7.3623,2.2466,2111,,,
full,beam_search,greedy,True,,21,0.15,5,0.4,23.4,16.0717,5.1664,2.9884,1367.4,,,
full,beam_search,greedy,True,,21,0.25,5,0.6,46.2,4.0866,9.1623,3.2017,2460.2,,,
full,beam_search,greedy,True,,21,0.35,5,0.2,36.4,16.6523,5.9222,2.3054,1616,,,
full,beam_search,random,False,,11,0.15,5,0.6,16,4.1231,1.5957,0.1993,412.8,,,
full,beam_search,random,False,,11,0.25,5,0.6,15.2,5.2154,1.4998,0.1224,414.4,,,
full,beam_search,random,False,,11,0.35,5,0.8,25.2,13.8636,2.9513,3.1716,847.8,,,
full,beam_search,random,False,,13,0.15,5,1,23.4,0.8944,2.5696,0.287,669.6,,,
full,beam_search,random,False,,13,0.25,5,0.6,26.8,14.2899,3.2701,2.1137,890.4,,,
full,beam_search,random,False,,13,0.35,5,0.4,26.6,15.566,3.2357,2.1342,906.8,,,
full,beam_search,random,False,,17,0.15,5,0.6,26.4,9.1542,4.3736,0.7028,1164.8,,,
full,beam_search,random,False,,17,0.25,5,0.4,42.8,9.8843,6.2461,3.1277,1730.8,,,
full,beam_search,random,False,,17,0.35,5,0.2,47.4,5.8138,6.0758,2.5413,1789,,,
full,beam_search,random,False,,21,0.15,5,0.6,43.4,4.5056,7.845,1.5185,2133.6,,,
full,beam_search,random,False,,21,0.25,5,0.6,44.2,5.3572,7.5296,2.1718,2020,,,
full,beam_search,random,False,,21,0.35,5,0.2,49.4,1.3416,8.5297,2.9015,2446.8,,,
full,beam_search,random,True,,11,0.15,5,0.6,14.4,7.2664,1.4603,0.4583,376,,,
full,beam_search,random,True,,11,0.25,5,0.8,17,5.6569,1.7081,0.4465,439,,,
full,beam_search,random,True,,11,0.35,5,0.8,18,4.5826,1.6399,0.382,452.2,,,
full,beam_search,random,True,,13,0.15,5,0.8,21.8,5.2154,2.4725,0.4394,648.2,,,
full,beam_search,random,True,,13,0.25,5,1,24.2,1.7889,2.4625,0.3766,679.2,,,
full,beam_search,random,True,,13,0.35,5,0.8,25.4,11.0815,2.7285,1.262,800,,,
full,beam_search,random,True,,17,0.15,5,0.6,26.4,10.5736,4.2272,1.1382,1172,,,
full,beam_search,random,True,,17,0.25,5,1,36.2,4.3818,5.0887,1.2893,1389.2,,,
full,beam_search,random,True,,17,0.35,5,0.4,47.6,3.9115,6.7011,2.9299,1925,,,
full,beam_search,random,True,,21,0.15,5,0.4,33.4,15.9781,6.197,2.0966,1676.4,,,
full,beam_search,random,True,,21,0.25,5,0.6,44.6,5.1284,7.7178,1.731,2091,,,
full,beam_search,random,True,,21,0.35,5,0,46,8.9443,6.8768,3.8752,1985.4,,,
full,expectimax,astar,False,,11,0.15,5,0.6,28.2,12.9112,20.465,7.8245,9310.4,,,
full,expectimax,astar,False,,11,0.25,3,0.3333,21.3333,3.2146,15.4952,0.9334,7250.3333,,,
full,expectimax,astar,False,,11,0.35,4,0.25,42.75,14.5,13.1151,2.2291,5862,,,
full,expectimax,astar,False,,13,0.15,5,0.6,30,13.0576,24.236,13.729,11151.8,,,
full,expectimax,astar,False,,13,0.25,5,0.4,39.6,14.2583,20.874,10.2286,9517.2,,,
full,expectimax,astar,False,,13,0.35,3,0,19.3333,2.5166,9.2146,2.285,4146.6667,,,
full,expectimax,astar,False,,17,0.15,5,0.4,43.6,9.0167,29.806,14.9434,13678.2,,,
full,expectimax,astar,False,,17,0.25,5,0,35.4,9.6333,19.5438,6.8498,8954.6,,,
full,expectimax,astar,False,,17,0.35,5,0,47.2,6.261,17.0378,8.7064,6883.4,,,
full,expectimax,astar,False,,21,0.15,4,0,50,0.0,41.9773,5.1231,19084.25,,,
full,expectimax,astar,False,,21,0.25,4,0,40.25,11.2657,23.9624,5.1012,9770.5,,,
full,expectimax,astar,False,,21,0.35,4,0,44.5,11.0,19.366,9.337,7555.5,,,
full,expectimax,astar,True,,11,0.15,5,0.4,34.2,15.3036,25.7486,10.2229,11000,,,
full,expectimax,astar,True,,11,0.25,3,0.3333,20,1.7321,13.1768,1.2548,6069.6667,,,
full,expectimax,astar,True,,11,0.35,4,0.5,31.25,14.2215,13.2804,6.1842,5954.5,,,
full,expectimax,astar,True,,13,0.15,5,0.4,43.4,9.5812,35.7596,10.8193,17067.4,,,
full,expectimax,astar,True,,13,0.25,5,0.6,26.8,13.7913,15.6653,7.5168,7011.4,,,
full,expectimax,astar,True,,13,0.35,3,0,23.6667,6.1101,11.825,4.8596,5256,,,
full,expectimax,astar,True,,17,0.15,5,0.4,43.8,8.8431,30.3353,15.3334,13884.8,,,
full,expectimax,astar,True,,17,0.25,5,0,41.4,12.1984,21.5245,8.1974,9746.2,,,
full,expectimax,astar,True,,17,0.35,5,0,50,0.0,18.5569,11.6942,7694.8,,,
full,expectimax,astar,True,,21,0.15,4,0,50,0.0,44.9998,1.4928,20274.25,,,
full,expectimax,astar,True,,21,0.25,4,0,40.25,9.3229,23.0346,9.2851,10347,,,
full,expectimax,astar,True,,21,0.35,4,0,44,12.0,21.1017,10.6334,8500.25,,,
full,expectimax,beam,False,,11,0.15,5,0.4,31.8,16.6343,23.0017,10.0671,9852,,,
full,expectimax,beam,False,,11,0.25,3,0.3333,21.3333,3.2146,15.5353,1.0343,7250.3333,,,
full,expectimax,beam,False,,11,0.35,4,0.25,42.75,14.5,13.1455,2.1278,5862,,,
full,expectimax,beam,False,,13,0.15,5,0.6,30.4,13.0882,25.641,14.9089,11382.4,,,
full,expectimax,beam,False,,13,0.25,5,0.2,44.6,12.0748,21.1053,11.7774,9479,,,
full,expectimax,beam,False,,13,0.35,3,0,20.6667,4.7258,9.2077,2.4085,4143.3333,,,
full,expectimax,beam,False,,17,0.15,5,0.4,43.6,9.0167,30.8172,15.7783,13678.2,,,
full,expectimax,beam,False,,17,0.25,5,0,33.8,9.757,16.0239,5.436,7080.8,,,
full,expectimax,beam,False,,17,0.35,5,0,50,0.0,17.6063,9.4044,7415,,,
full,expectimax,beam,False,,21,0.15,4,0,50,0.0,41.0525,3.567,18602.75,,,
full,expectimax,beam,False,,21,0.25,4,0,45,10.0,28.6115,9.3763,12321.75,,,
full,expectimax,beam,False,,21,0.35,4,0,50,0.0,19.7768,6.4337,8253.5,,,
full,expectimax,beam,True,,11,0.15,5,0.6,34.4,15.0765,24.9278,9.0728,11479.6,,,
full,expectimax,beam,True,,11,0.25,3,0.3333,20,1.7321,13.4643,1.5538,6069.6667,,,
